iter,train_loss,valid_loss,test_loss
0,0.3465,0.289,0.2293
10,0.2161,0.2335,0.128
20,0.2181,0.2268,0.1166
30,0.2165,0.2425,0.1283
40,0.2148,0.2308,0.1187
50,0.2145,0.2323,0.1213
60,0.2146,0.2345,0.1211
70,0.2145,0.2318,0.1205
80,0.2145,0.2337,0.1211
90,0.2145,0.2326,0.1208
100,0.2145,0.2331,0.1209
110,0.2145,0.2329,0.1208
120,0.2144,0.2329,0.1209
130,0.2144,0.2329,0.1208
140,0.2144,0.2329,0.1208
150,0.2143,0.2327,0.1208
160,0.2142,0.2326,0.1207
170,0.2139,0.2323,0.1206
180,0.213,0.2314,0.1201
190,0.2094,0.2278,0.1184
200,0.1867,0.2052,0.1092
210,0.1466,0.1623,0.0919
220,0.1229,0.1371,0.0832
230,0.0907,0.095,0.0688
240,0.065,0.0706,0.0441
250,0.0478,0.0551,0.0205
260,0.0407,0.0446,0.0175
270,0.0373,0.0422,0.0156
280,0.0352,0.0394,0.013
290,0.034,0.0386,0.0129
300,0.0332,0.0381,0.0126
310,0.0325,0.0375,0.012
320,0.032,0.0371,0.0118
330,0.0314,0.0367,0.0114
340,0.0309,0.0363,0.011
350,0.0304,0.0359,0.0106
360,0.03,0.0355,0.0101
370,0.0294,0.035,0.0096
380,0.0289,0.0344,0.0092
390,0.0283,0.0338,0.0087
400,0.0276,0.0331,0.0083
410,0.0326,0.0363,0.0112
420,0.0275,0.0337,0.0089
430,0.026,0.0315,0.0074
440,0.0253,0.0307,0.0067
450,0.0259,0.0315,0.0065
460,0.0263,0.0312,0.0114
470,0.0241,0.0296,0.0066
480,0.0235,0.0289,0.007
490,0.023,0.0283,0.0074
500,0.0225,0.0278,0.0069
510,0.0219,0.0272,0.0069
520,0.0215,0.0268,0.0069
530,0.0219,0.0271,0.0073
540,0.021,0.0263,0.0075
550,0.0202,0.0254,0.007
560,0.0196,0.0247,0.0072
570,0.019,0.0241,0.0075
580,0.0183,0.0234,0.0079
590,0.0177,0.0227,0.0083
600,0.0169,0.022,0.0087
610,0.018,0.0229,0.0111
620,0.016,0.0209,0.0092
630,0.0148,0.0198,0.0097
640,0.014,0.0188,0.0116
650,0.0132,0.0179,0.0132
660,0.0125,0.0171,0.0153
670,0.0119,0.0165,0.0175
680,0.0131,0.0188,0.0141
690,0.0147,0.0186,0.0238
700,0.0118,0.016,0.017
710,0.0107,0.015,0.0194
720,0.0102,0.015,0.0213
730,0.0097,0.0142,0.0253
740,0.0093,0.0139,0.0247
750,0.009,0.0135,0.0262
760,0.0087,0.0132,0.0272
770,0.0084,0.0129,0.0279
780,0.0091,0.0135,0.022
790,0.0127,0.0183,0.0158
800,0.0094,0.0133,0.0198
810,0.0086,0.0134,0.0297
820,0.008,0.013,0.0252
830,0.0075,0.0123,0.0305
840,0.0073,0.0122,0.0311
850,0.0071,0.0121,0.0322
860,0.0069,0.0119,0.031
870,0.0067,0.0121,0.0323
880,0.0065,0.0122,0.0329
890,0.0063,0.0122,0.033
900,0.0073,0.0109,0.0243
910,0.0077,0.0119,0.0288
920,0.0085,0.0132,0.0408
930,0.0066,0.0109,0.0284
940,0.0063,0.0105,0.0268
950,0.006,0.0107,0.0326
960,0.0058,0.01,0.033
970,0.0056,0.0096,0.0329
980,0.0054,0.0095,0.0321
990,0.0053,0.0098,0.0318
1000,0.0053,0.0103,0.0309
1010,0.0057,0.0093,0.038
1020,0.0124,0.0192,0.0522
1030,0.0099,0.0133,0.0232
1040,0.0082,0.0129,0.0267
1050,0.0063,0.0133,0.0268
1060,0.0056,0.0107,0.0321
1070,0.0052,0.0091,0.0342
1080,0.005,0.0092,0.0346
1090,0.0048,0.0087,0.0351
1100,0.0047,0.0086,0.0358
1110,0.0048,0.0082,0.0419
1120,0.0047,0.0161,0.0461
1130,0.0045,0.0084,0.0407
1140,0.0043,0.0098,0.0423
1150,0.0049,0.0162,0.0497
1160,0.0044,0.0076,0.0412
1170,0.0054,0.024,0.0564
1180,0.0046,0.0105,0.0477
1190,0.0046,0.0145,0.0434
1200,0.0052,0.0153,0.055
1210,0.0044,0.0139,0.0436
