iter,train_loss,valid_loss,test_loss
0,4.8317,4.8388,5.1569
10,0.6863,0.727,0.7599
20,0.5161,0.5738,0.5264
30,0.3129,0.3686,0.2748
40,0.3404,0.3936,0.2967
50,0.3145,0.3706,0.2739
60,0.3097,0.3635,0.2835
70,0.3102,0.3651,0.2829
80,0.31,0.3641,0.2842
90,0.3097,0.3642,0.2821
100,0.3096,0.3641,0.2813
110,0.3095,0.3638,0.2811
120,0.3094,0.3638,0.2807
130,0.3093,0.3637,0.2803
140,0.3092,0.3636,0.2801
150,0.3091,0.3635,0.28
160,0.309,0.3633,0.2799
170,0.3088,0.3631,0.2797
180,0.3086,0.3629,0.2795
190,0.3083,0.3625,0.279
200,0.3078,0.3619,0.2784
210,0.307,0.3608,0.2771
220,0.3052,0.3585,0.2743
230,0.2996,0.3515,0.2648
240,0.2763,0.3226,0.2254
250,0.2703,0.3155,0.2188
260,0.2627,0.307,0.2104
270,0.2523,0.2942,0.2008
280,0.2333,0.2725,0.1797
290,0.2031,0.2381,0.1432
300,0.1788,0.2101,0.1095
310,0.1699,0.197,0.0966
320,0.1603,0.1825,0.0862
330,0.1555,0.1726,0.0821
340,0.1529,0.1661,0.0803
350,0.1504,0.1616,0.0789
360,0.148,0.1579,0.0778
370,0.1455,0.154,0.0768
380,0.1426,0.1497,0.0752
390,0.1385,0.1442,0.0717
400,0.1308,0.1345,0.0626
410,0.1154,0.1155,0.0564
420,0.1066,0.1075,0.0454
430,0.1019,0.0997,0.0656
440,0.0829,0.0838,0.0423
450,0.0574,0.0596,0.0276
460,0.0812,0.085,0.0388
470,0.0818,0.0888,0.0304
480,0.0499,0.0522,0.0237
490,0.0354,0.0384,0.0209
500,0.0311,0.0344,0.0196
510,0.0301,0.0335,0.0182
520,0.0288,0.0331,0.0206
530,0.028,0.0326,0.0204
540,0.0275,0.032,0.0192
550,0.0269,0.0316,0.019
560,0.0264,0.0312,0.0191
570,0.0259,0.0307,0.019
580,0.0255,0.0303,0.0186
590,0.025,0.0299,0.0183
600,0.0246,0.0295,0.018
610,0.0242,0.0292,0.0177
620,0.0238,0.0289,0.0174
630,0.0234,0.0286,0.0172
640,0.0231,0.0283,0.0169
650,0.0227,0.028,0.0166
660,0.0224,0.0278,0.0163
670,0.0221,0.0276,0.016
680,0.0217,0.0273,0.0157
690,0.0214,0.0271,0.0155
700,0.0212,0.0269,0.0152
710,0.0209,0.0266,0.0149
720,0.0206,0.0264,0.0146
730,0.0203,0.0261,0.0144
740,0.0201,0.0258,0.0141
750,0.0198,0.0255,0.0138
760,0.0195,0.0251,0.0136
770,0.0193,0.0248,0.0133
780,0.019,0.0244,0.0131
790,0.0187,0.024,0.0128
800,0.0185,0.0236,0.0125
810,0.0182,0.0232,0.0123
820,0.0179,0.0228,0.012
830,0.0176,0.0224,0.0117
840,0.0173,0.0219,0.0115
850,0.0169,0.0215,0.0112
860,0.0166,0.0211,0.0109
870,0.0162,0.0206,0.0106
880,0.0158,0.0202,0.0104
890,0.0154,0.0198,0.0101
900,0.015,0.0193,0.0098
910,0.0146,0.0189,0.0095
920,0.0141,0.0184,0.0092
930,0.0136,0.018,0.0089
940,0.0132,0.0175,0.0086
950,0.0127,0.017,0.0083
960,0.0123,0.0166,0.008
970,0.0118,0.0162,0.0078
980,0.0115,0.0159,0.0075
990,0.0112,0.0156,0.0073
1000,0.0109,0.0154,0.0072
1010,0.0106,0.0151,0.007
1020,0.0103,0.0149,0.0069
1030,0.0101,0.0146,0.0068
1040,0.0098,0.0144,0.0067
1050,0.0096,0.0141,0.0066
1060,0.0095,0.0139,0.0066
1070,0.0093,0.0137,0.0065
1080,0.0091,0.0136,0.0064
1090,0.0089,0.0135,0.0064
1100,0.0087,0.0135,0.0063
1110,0.0086,0.0135,0.0063
1120,0.0089,0.014,0.0072
1130,0.0083,0.0132,0.0063
1140,0.0084,0.0136,0.0067
1150,0.0081,0.0132,0.0061
1160,0.0079,0.0132,0.0061
1170,0.0078,0.0132,0.0061
1180,0.0076,0.0132,0.0061
1190,0.0075,0.0132,0.006
1200,0.0073,0.0131,0.0059
1210,0.0072,0.0131,0.0059
1220,0.0071,0.013,0.0058
1230,0.0069,0.0129,0.0058
1240,0.0068,0.0129,0.0057
1250,0.0066,0.0128,0.0056
1260,0.0071,0.0134,0.0059
1270,0.0064,0.0125,0.0055
1280,0.0062,0.0124,0.0054
1290,0.006,0.0122,0.0053
1300,0.0059,0.0121,0.0053
1310,0.0057,0.012,0.0051
1320,0.0056,0.0117,0.0051
1330,0.0056,0.0114,0.0052
1340,0.0058,0.0117,0.0054
1350,0.0054,0.0108,0.0052
1360,0.005,0.0102,0.0049
1370,0.0048,0.0101,0.0048
1380,0.0047,0.0096,0.0047
1390,0.0065,0.0101,0.0067
1400,0.0045,0.0084,0.0049
1410,0.0043,0.0084,0.0047
1420,0.0043,0.0079,0.005
1430,0.0042,0.0077,0.0048
1440,0.0039,0.0073,0.0045
1450,0.0038,0.0071,0.0046
1460,0.0041,0.0065,0.0051
1470,0.0039,0.007,0.0046
1480,0.0034,0.0064,0.0045
1490,0.0035,0.0062,0.0049
1500,0.0032,0.0064,0.0042
1510,0.0041,0.006,0.005
1520,0.0032,0.0058,0.0044
1530,0.0031,0.0056,0.0045
1540,0.0031,0.0059,0.0043
1550,0.0031,0.0054,0.0048
1560,0.0034,0.0062,0.0044
1570,0.003,0.0059,0.0041
1580,0.0029,0.0049,0.0046
1590,0.0036,0.0053,0.0053
1600,0.0027,0.0047,0.0043
1610,0.0025,0.0048,0.0041
1620,0.0025,0.0047,0.004
1630,0.0029,0.0052,0.0044
1640,0.0031,0.0056,0.0046
1650,0.0025,0.0048,0.004
1660,0.0025,0.0049,0.0039
1670,0.0022,0.0041,0.0041
1680,0.0039,0.0066,0.005
1690,0.0029,0.0054,0.0039
1700,0.0027,0.005,0.004
1710,0.0029,0.0053,0.0041
1720,0.0021,0.0043,0.0038
1730,0.002,0.0042,0.0036
1740,0.0017,0.0038,0.0036
1750,0.0026,0.0041,0.004
1760,0.0024,0.0042,0.004
1770,0.002,0.0038,0.0038
1780,0.002,0.0039,0.0039
1790,0.0019,0.004,0.0037
1800,0.0018,0.0037,0.0037
1810,0.0017,0.0038,0.0035
